title,description,type,sellPrice,tags,energy,health
Halibut,A flat fish that lives on Beach floor.,fish,80,"fish, Beach, 6am – 11am, 7pm – 2am, spring, summer, winter, AnyWeather",,
Herring,A common Ocean Fish.,fish,30,"fish, Beach, 6am - 2am, spring, winter, AnyWeather",,
Ice Pip,A rare fish that thrives in extremely cold conditions.,fish,500,"fish, Mine 60, 6am - 2am, spring, summer, fall, winter, AnyWeather, Fishing level 5",,
Largemouth Bass,A popular fish that lives in Mountains.,fish,100,"fish, Mountain, 6am – 7pm, spring, summer, fall, winter, AnyWeather, Lake Fish Bundle, Crispy Bass, Fish Casserole Quest",,
Lava Eel,It can somehow survive in pools of red-hot lava.,fish,700,"fish, Mine 100, 6am - 2am, spring, summer, fall, winter, AnyWeather, Fishing level 7",,
Lingcod,A fearsome predator that will eat almost AnyWeatherthing it can cram into its mouth.,fish,120,"fish, Town, Forest, Mountain, 6am - 2am, winter, AnyWeather, Catch a Lingcod Quest",,
Midnight Carp,This shy fish only feels comfortable at night.,fish,150,"fish, Mountain, 10pm – 2am, fall, winter, AnyWeather, Seafoam Pudding",,
Midnight Squid,A strange and mysterious denizen of Beach's twilight depths.,fish,100,"fish, Beach, 5pm - 2am, Winter 15-17, AnyWeather, Night Market, Submarine",,
Octopus,A mysterious and intelligent creature.,fish,150,"fish, Beach, 6am – 1pm, summer, AnyWeather, Willy",,
Perch,A freshwater fish of the winter.,fish,55,"fish, Town, Forest, Mountain, Secret Woods, 6am - 2am, winter, AnyWeather",,
Pike,A freshwater fish that's difficult to catch.,fish,100,"fish, Town, Forest, Secret Woods, 6am - 2am, summer, winter, AnyWeather",,
Pufferfish,Inflates when threatened.,fish,200,"fish, Beach, 12pm – 4pm, summer, Sun, Specialty Fish Bundle, Abigail, Aquatic Research Quest",,
Rainbow Trout,A freshwater trout with colorful markings.,fish,65,"fish, Town, Forest, Mountain, 6am – 7pm, summer, Sun, Trout Soup",,
Red Mullet,Long ago these were kept as pets.,fish,75,"fish, Beach, 6am – 7pm, summer, winter, AnyWeather",,
Red Snapper,A popular fish with a nice red color.,fish,50,"fish, Beach, 6am – 7pm, summer, fall, winter, Rain, Ocean Fish Bundle",,
Salmon,Swims upstream to lay its eggs.,fish,75,"fish, Town, Forest, 6am – 7pm, fall, AnyWeather, Salmon Dinner",,
Sandfish,It tries to hide using camouflage.,fish,75,"fish, Desert, 6am – 8pm, spring, summer, fall, winter, AnyWeather, Specialty Fish Bundle, Penny",,
Sardine,A common Ocean Fish.,fish,40,"fish, Beach, 6am – 7pm, spring, fall, winter, AnyWeather, Ocean Fish Bundle, Dish o' The Sea",,
Scorpion Carp,It's like a regular carp but with a sharp stinger.,fish,150,"fish, Desert, 6am – 8pm, spring, summer, fall, winter, AnyWeather, Fishing level 4",,
Sea Cucumber,"A slippery, slimy creature found on Beach floor.",fish,75,"fish, Beach, 6am – 7pm, fall, winter, AnyWeather, Lucky Lunch, Willy",,
Shad,"Lives in a school at sea, but returns to the rivers to spawn.",fish,60,"fish, Town, Forest, 9am – 2am, spring, summer, fall, Rain, River Fish Bundle",,
Slimejack,He's coated in a very thick layer of slime. He keeps slipping out of your hands!,fish,100,"fish, Bug Lair, 6am - 2am, spring, summer, fall, winter, AnyWeather",,
Smallmouth Bass,A freshwater fish that is very sensitive to pollution.,fish,50,"fish, Town, Secret Woods, 6am - 2am, spring, fall, AnyWeather",,
Spook Fish,The huge eyes can detect the faint silhouettes of prey.,fish,220,"fish, Beach, 5pm - 2am, Winter 15-17, AnyWeather, Night Market, Submarine",,
Squid,A deep sea creature that can grow to enormous size.,fish,80,"fish, Beach, 6pm – 2am, winter, AnyWeather, Fried Calamari, Catch a Squid Quest, Rain Totem",,
Stonefish,A bizarre fish that's shaped like a brick.,fish,300,"fish, Mine 20, 6am - 2am, spring, summer, fall, winter, AnyWeather, Fishing level 3",,
Sturgeon,An ancient bottom-feeder with a dwindling population. Females can live up to 150 years.,fish,200,"fish, Mountain, 6am – 7pm, summer, winter, AnyWeather, Lake Fish Bundle, Willy",,
Sunfish,A common river fish.,fish,30,"fish, Town, Forest, 6am – 7pm, spring, summer, Sun, Wind, River Fish Bundle, Baked Fish",,
Super Cucumber,"A rare, purple variety of sea cucumber.",fish,250,"fish, Beach, 6pm – 2am, summer, fall, AnyWeather, Wizard",,
Tiger Trout,A rare hybrid trout that cannot bear offspring of its own.,fish,150,"fish, Town, Forest, 6am – 7pm, fall, winter, AnyWeather, River Fish Bundle",,
Tilapia,A primarily vegetarian fish that prefers warm water.,fish,75,"fish, Beach, 6am – 2pm, summer, fall, AnyWeather, Ocean Fish Bundle",,
Tuna,A large fish that lives in Beach.,fish,100,"fish, Beach, 6am – 7pm, summer, winter, AnyWeather, Ocean Fish Bundle, Fish Taco",,
Void Salmon,"A salmon, twisted by void energy. The fresh meat is jet black, but rapidly turns pink when exposed to air.",fish,150,"fish, Witch's Swamp, 6am - 2am, spring, summer, fall, winter, AnyWeather, The Missing Bundle",,
Walleye,A freshwater fish caught at night.,fish,105,"fish, Town, Forest, Mountain, Secret Woods, 12pm – 2am, fall, winter, Rain, Night Fishing Bundle, Rain Totem",,
Woodskip,A very sensitive fish that can only live in pools deep in the forest.,fish,75,"fish, Secret Woods, Forest, Farm, 6am - 2am, spring, summer, fall, winter, AnyWeather, Specialty Fish Bundle",,
