templateKey,title,description,type,sellPrice,tags
blog-post,Coconut,A seed of the coconut palm. It has many culinary uses.,Fruit,100,"Spring, Summer, Fall, Winter, The Desert, Tom Kha Soup, Jelly, inedible, Haley, Linus, fruit, Exotic Foraging Bundle"
blog-post,Holly,The leaves and bright red berries make a popular winter decoration.,Forage,80,forageable
blog-post,Nautilus Shell,An ancient shell.,Forage,120,"forageable, quest"
blog-post,Coral,A colony of tiny creatures that clump together to form beautiful structures.,Forage,80,"forageable, fishpond"
blog-post,Sea Urchin,"A slow-moving, spiny creature that some consider a delicacy.",Forage,160,"forageable, fishpond"
blog-post,Rainbow Shell,It's a very beautiful shell.,Forage,300,"forageable, quest"
blog-post,Clam,Someone lived here once.,Forage,50,"forageable, Clam Chowder"
blog-post,Mussel,A common bivalve that often lives in clusters.,Fish,30,"forageable, Crab Pot Bundle, Dish O' The Sea"
blog-post,Oyster,"Constantly filters water to find food. In the process, it removes dangerous toxins from the environment.",Fish,40,"forageable, Crab Pot Bundle"
blog-post,Cockle,A common saltwater clam.,Fish,50,"forageable, Crab Pot Bundle"
blog-post,Purple Mushroom,A rare mushroom found deep in caves.,Forage,250,"forageable, Wizard, Bulletin Board"
blog-post,Cave Carrot,A starchy snack found in caves. It helps miners work longer.,Forage,25,"forageable, edible, The Mines, Survival Burger"
