title,description,note,sellPrice,tags
Perch,A freshwater fish of the winter.,,55,"Town, Forest, Mountain, Secret Woods, 6am - 2am, Winter, AnyWeather"
Pike,A freshwater fish that's difficult to catch.,,100,"Town, Forest, Secret Woods, 6am - 2am, Summer, Winter, AnyWeather"
Pufferfish,Inflates when threatened.,,200,"Beach, 12pm – 4pm, Summer, Sun, Specialty Fish Bundle, Abigail, Aquatic Research Quest"
Rainbow Trout,A freshwater trout with colorful markings.,,65,"Town, Forest, Mountain, 6am – 7pm, Summer, Sun, Trout Soup"
Red Mullet,Long ago these were kept as pets.,,75,"Beach, 6am – 7pm, Summer, Winter, AnyWeather"
Red Snapper,A popular fish with a nice red color.,,50,"Beach, 6am – 7pm, Summer, Fall, Winter, Rain, Ocean Fish Bundle"
Salmon,Swims upstream to lay its eggs.,,75,"Town, Forest, 6am – 7pm, Fall, AnyWeather, Salmon Dinner"
Sandfish,It tries to hide using camouflage.,,75,"Desert, 6am – 8pm, Spring, Summer, Fall, Winter, AnyWeather, Specialty Fish Bundle, Penny"
Sardine,A common Ocean Fish.,,40,"Beach, 6am – 7pm, Spring, Fall, Winter, AnyWeather, Ocean Fish Bundle, Dish o' The Sea"
Scorpion Carp,It's like a regular carp but with a sharp stinger.,Requires fishing level 4,150,"Desert, 6am – 8pm, Spring, Summer, Fall, Winter, AnyWeather"
Sea Cucumber,"A slippery, slimy creature found on the Beach floor.",,75,"Beach, 6am – 7pm, Fall, Winter, AnyWeather, Lucky Lunch, Willy"
Shad,"Lives in a school at sea, but returns to the rivers to spawn.",,60,"Town, Forest, 9am – 2am, Spring, Summer, Fall, Rain, River Fish Bundle"
Slimejack,He's coated in a very thick layer of slime. He keeps slipping out of your hands!,,100,"Bug Lair, 6am - 2am, Spring, Summer, Fall, Winter, AnyWeather"
Smallmouth Bass,A freshwater fish that is very sensitive to pollution.,,50,"Town, Secret Woods, 6am - 2am, Spring, Fall, AnyWeather"
Spook Fish,The huge eyes can detect the faint silhouettes of prey.,"Winterfest, Sub only",220,"Beach, 5pm - 2am, Winter 15-17, AnyWeather"
Squid,A deep sea creature that can grow to enormous size.,Winter requires Rain Totem,80,"Beach, 6pm – 2am, Winter, AnyWeather, Fried Calamari, Catch a Squid Quest"
Stonefish,A bizarre fish that's shaped like a brick.,Requires fishing level 3,300,"Mine 20, 6am - 2am, Spring, Summer, Fall, Winter, AnyWeather"
Sturgeon,An ancient bottom-feeder with a dwindling population. Females can live up to 150 years.,,200,"Mountain, 6am – 7pm, Summer, Winter, AnyWeather, Lake Fish Bundle, Willy"
Sunfish,A common river fish.,,30,"Town, Forest, 6am – 7pm, Spring, Summer, Sun, Wind, River Fish Bundle, Baked Fish"
Super Cucumber,"A rare, purple variety of sea cucumber.",,250,"Beach, 6pm – 2am, Summer, Fall, AnyWeather, Wizard"
Tiger Trout,A rare hybrid trout that cannot bear offspring of its own.,,150,"Town, Forest, 6am – 7pm, Fall, Winter, AnyWeather, River Fish Bundle"
Tilapia,A primarily vegetarian fish that prefers warm water.,,75,"Beach, 6am – 2pm, Summer, Fall, AnyWeather, Ocean Fish Bundle"
Tuna,A large fish that lives in the Beach.,,100,"Beach, 6am – 7pm, Summer, Winter, AnyWeather, Ocean Fish Bundle, Fish Taco"
Void Salmon,"A salmon, twisted by void energy. The fresh meat is jet black, but rapidly turns pink when exposed to air.",,150,"Witch's Swamp, 6am - 2am, Spring, Summer, Fall, Winter, AnyWeather, The Missing Bundle"
Walleye,A freshwater fish caught at night.,Winter requires Rain Totem.,105,"Town, Forest, Mountain, Secret Woods, 12pm – 2am, Fall, Winter, Rain, Night Fishing Bundle"
Woodskip,A very sensitive fish that can only live in pools deep in the forest.,,75,"Secret Woods, Forest, Farm, 6am - 2am, Spring, Summer, Fall, Winter, AnyWeather, Specialty Fish Bundle"
